REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.002	 4.156	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.572	 1.360	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.572	 1.360	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.572	 1.360	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.572	 1.360	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.572	 1.360	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 1.597	 1.372	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 3.962	 4.115	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 3.922	 4.074	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.117	 4.265	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.165	 4.307	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.052	 4.204	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.833	 3.976	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.010	 4.164	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.039	 4.192	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.105	 4.254	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.923	 4.075	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.053	 4.205	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.895	 4.044	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.012	 4.166	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.936	 4.089	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.044	 4.197	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.995	 4.149	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.101	 4.250	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.113	 1.043	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.073	 4.225	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.002	 4.156	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.044	 4.196	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.985	 4.139	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.358	 1.268	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.362	 1.269	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.363	 1.270	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 1.363	 1.270	 8000	nb
